complaint_id,source_channel,timestamp,raw_text,language_ground_truth,department_ground_truth,category_ground_truth,locality_ground_truth,ward_ground_truth,urgency_ground_truth,incident_id,status,resolved_at
CMP-0569,Municipal Helpline,2026-06-05T05:00:00,"Bairagarh चौराहे पर कल से कचरे का ढेर लगा है, आवारा मवेशी गंदगी फैला रहे हैं।",Hindi,Sanitation,Garbage accumulation,Bairagarh,3,Medium,INC-0414,Pending,
CMP-0277,Elected Representative,2026-06-05T19:00:00,Anand Nagar में वोल्टेज बहुत कम आ रहा है। मोटर और फ्रिज नहीं चल पा रहे हैं।,Hindi,Electricity,Low voltage,Anand Nagar,63,Medium,INC-0122,Pending,
CMP-0646,Municipal Helpline,2026-06-06T00:00:00,Ayodhya Bypass में नाली कचरे और प्लास्टिक से चोक हो गई है। गंदा पानी सड़क पर बह रहा है।,Hindi,Drainage,Drain blockage,Ayodhya Bypass,65,High,INC-0491,Pending,
CMP-0441,Municipal Helpline,2026-06-06T14:00:00,Sewage chamber overflowing on Piplani BHEL residential street. Filthy black water spreading.,English,Drainage,Overflowing sewage,Piplani,60,High,INC-0286,Pending,
CMP-0600,Elected Representative,2026-06-06T17:00:00,"Ratibad side nullah jam hai 5 din se, barish me paani gharo ke andar ghus raha hai.",Hinglish,Drainage,Drain blockage,Ratibad,84,High,INC-0445,In Progress,
CMP-0665,Mobile App,2026-06-06T20:00:00,Koh e fiza lake view me 2 din se paani nahi aa raha hai. Bahut dikkat ho rahi hai.,Hinglish,Water Supply,Water outage,Koh-e-Fiza,8,High,INC-0510,Resolved,2026-06-07T07:00:00
CMP-0548,CM Helpline,2026-06-07T02:00:00,"पंचशील नगर chourahe ke paas heavy water leakage ho rahi hai pipeline se, please fix it.",Hinglish,Water Supply,Water leakage,Panchsheel Nagar,30,Medium,INC-0393,In Progress,
CMP-0612,Municipal Helpline,2026-06-07T02:00:00,Dangerous potholes on Jahangirabad main road. Multiple two-wheeler riders have fallen.,English,Roads,Pothole,Jahangirabad,41,Medium,INC-0457,Pending,
CMP-0506,Mobile App,2026-06-07T05:00:00,Streetlights on the entire stretch of Chunabhatti are dark for 5 days. Safety hazard for women.,English,Street Lighting,Streetlight not working,Chuna Bhatti,82,Low,INC-0351,Pending,
CMP-0426,Social Media,2026-06-07T14:00:00,"Awadhpuri lane me pole light on nahi ho rahi, please technician bhejiye.",Hinglish,Street Lighting,Streetlight not working,Awadhpuri,64,Low,INC-0271,Pending,
CMP-0228,Mobile App,2026-06-07T15:00:00,"अयोध्या बायपास के खाली मैदान में ठहरा हुआ पानी सड़ रहा है, पानी की निकासी कराई जाए।",Hindi,Public Health,Stagnant water near habitation,Ayodhya Bypass,65,Medium,INC-0073,Resolved,2026-06-08T07:00:00
CMP-0575,CM Helpline,2026-06-07T16:00:00,Multiple dog bite incidents in Bittan Market this week. Urgent municipal dog catching required.,English,Public Health,Stray dog menace,Bittan Market,46,Medium,INC-0420,Resolved,2026-06-09T13:00:00
CMP-0531,Social Media,2026-06-07T21:00:00,"Broken, sunken manhole lid in Sant Hirdaram Nagar. Someone placed a tree branch as warning.",English,Drainage,Damaged manhole cover,Bairagarh,3,Critical,INC-0376,In Progress,
CMP-0337,Elected Representative,2026-06-08T18:00:00,"चूना भट्टी में सफाई कर्मचारी कचरा नहीं उठा रहे हैं, चारों तरफ कूड़ा बिखरा पड़ा है।",Hindi,Sanitation,Garbage accumulation,Chuna Bhatti,82,Medium,INC-0182,Pending,
CMP-0606,Elected Representative,2026-06-09T02:00:00,Deep craters developed on Shahpura road after rain. Major hazard for night commuters.,English,Roads,Pothole,Shahpura,50,Medium,INC-0451,Resolved,2026-06-10T03:00:00
CMP-0270,Social Media,2026-06-09T06:00:00,"Anand nagar BHEL park ke paas trash pile up ho gaya hai, please Nagar Nigam vehicle bhejo.",Hinglish,Sanitation,Garbage accumulation,Anand Nagar,63,Medium,INC-0115,Resolved,2026-06-10T02:00:00
CMP-0324,CM Helpline,2026-06-09T14:00:00,"Overhead electricity cables sagging very low in Shahpura, almost touching passing trucks.",English,Electricity,Loose overhead wires,Shahpura,50,Critical,INC-0169,Resolved,2026-06-12T09:00:00
CMP-0258,Mobile App,2026-06-09T17:00:00,Streetlight opposite house in M.P. Nagar continuously flickering and humming loudly.,English,Street Lighting,Flickering streetlight,MP Nagar,47,Low,INC-0103,Pending,
CMP-0691,CM Helpline,2026-06-09T20:00:00,ईदगाह हिल्स में नाली कचरे और प्लास्टिक से चोक हो गई है। गंदा पानी सड़क पर बह रहा है।,Hindi,Drainage,Drain blockage,Idgah Hills,9,High,INC-0536,Pending,
CMP-0212,Municipal Helpline,2026-06-09T21:00:00,Entire asphalt surface washed away near Gandhi Nagar. Road broken into gravel and dust.,English,Roads,Road damage,Gandhi Nagar,1,Medium,INC-0057,Pending,
CMP-0468,CM Helpline,2026-06-09T22:00:00,Subhash Nagar में पिछले एक हफ्ते से अघोषित बिजली कटौती है। भीषण गर्मी में लोग परेशान हैं।,Hindi,Electricity,Power outage,Subhash Nagar,39,High,INC-0313,Resolved,2026-06-13T07:00:00
CMP-0475,Mobile App,2026-06-10T02:00:00,Fallen tree branch blocking one entire lane near Koh-e-Fiza. Traffic backed up.,English,Roads,Road obstruction,Koh-e-Fiza,8,High,INC-0320,In Progress,
CMP-0654,Municipal Helpline,2026-06-10T02:00:00,"Ratibad college road toilet complex me choke ho gaya hai, bahut badboo aa rahi hai.",Hinglish,Public Health,Public toilet sanitation,Ratibad,84,Medium,INC-0499,Resolved,2026-06-13T23:00:00
CMP-0224,Municipal Helpline,2026-06-10T15:00:00,Deep craters developed on Panchsheel colony road after rain. Major hazard for night commuters.,English,Roads,Pothole,Panchsheel Nagar,30,Medium,INC-0069,Resolved,2026-06-12T10:00:00
CMP-0641,CM Helpline,2026-06-10T17:00:00,No municipal tap water in Tatya Tope Nagar since yesterday. Kindly restore the supply immediately.,English,Water Supply,Water outage,TT Nagar,33,High,INC-0486,Resolved,2026-06-14T04:00:00
CMP-0333,Mobile App,2026-06-11T01:00:00,Extremely low voltage in Awadhpuri square. Refrigerators and water pumps cannot start.,English,Electricity,Low voltage,Awadhpuri,64,Medium,INC-0178,Resolved,2026-06-13T07:00:00
CMP-0215,Mobile App,2026-06-11T04:00:00,"Municipal public toilet in Jahangirabad is choked, without water, and filthy. Unusable.",English,Public Health,Public toilet sanitation,Jahangirabad,41,Medium,INC-0060,Resolved,2026-06-12T23:00:00
CMP-0605,Municipal Helpline,2026-06-11T04:00:00,"Lalghati रोड पर गड्ढों के कारण भयंकर ट्रैफिक जाम लग रहा है, तुरंत मरम्मत कराएं।",Hindi,Roads,Pothole,Lalghati,6,Medium,INC-0450,Pending,
CMP-0677,CM Helpline,2026-06-11T06:00:00,Nullah blocked near नेहरू नगर causing artificial waterlogging during light rains.,English,Drainage,Drain blockage,Nehru Nagar,26,High,INC-0522,In Progress,
CMP-0102,CM Helpline,2026-06-11T06:01:00,Pack of aggressive stray dogs chasing pedestrians and cyclists in Govindpura.,English,Public Health,Stray dog menace,Govindpura,58,Medium,INC-0018,Resolved,2026-06-15T18:01:00
CMP-0101,Municipal Helpline,2026-06-11T07:32:00,"Govindpura Industrial Area gali me dogs ne 2 logo ko bite kiya hai, please dog catching vehicle bhejiye.",Hinglish,Public Health,Stray dog menace,Govindpura,58,Medium,INC-0018,Resolved,2026-06-15T08:32:00
CMP-0292,Municipal Helpline,2026-06-11T17:00:00,Anand Nagar में कचरा गाड़ी पिछले 5 दिन से नहीं आई है। घरों में कचरा इकट्ठा हो गया है।,Hindi,Sanitation,Irregular garbage collection,Anand Nagar,63,Low,INC-0137,In Progress,
CMP-0321,Mobile App,2026-06-11T21:00:00,"Tap water in Chuna Bhatti is muddy, yellow, and foul smelling. Unfit for drinking.",English,Water Supply,Contaminated water,Chuna Bhatti,82,Critical,INC-0166,In Progress,
CMP-0281,Mobile App,2026-06-11T22:00:00,"Chuna Bhatti me road completely break ho chuki hai, sirf dust aur stones bache hain.",Hinglish,Roads,Road damage,Chuna Bhatti,82,Medium,INC-0126,Resolved,2026-06-13T23:00:00
CMP-0730,Municipal Helpline,2026-06-11T22:00:00,Fallen tree branch blocking one entire lane near T.T. Nagar. Traffic backed up.,English,Roads,Road obstruction,TT Nagar,33,High,INC-0575,Pending,
CMP-0209,Mobile App,2026-06-12T03:00:00,Extremely low voltage in Ratibad. Refrigerators and water pumps cannot start.,English,Electricity,Low voltage,Ratibad,84,Medium,INC-0054,Resolved,2026-06-12T19:00:00
CMP-0370,Social Media,2026-06-12T03:00:00,"Tap water in Karond is muddy, yellow, and foul smelling. Unfit for drinking.",English,Water Supply,Contaminated water,Karond,15,Critical,INC-0215,Resolved,2026-06-13T22:00:00
CMP-0498,Mobile App,2026-06-12T03:00:00,Water trickle flow in बरखेड़ा. Motor cannot lift water to domestic rooftop tanks.,English,Water Supply,Low water pressure,Barkheda,59,Medium,INC-0343,In Progress,
CMP-0075,CM Helpline,2026-06-12T03:22:00,"MP Nagar residential lane me sewage overflow ho raha hai, filthy smell aur health hazard hai.",Hinglish,Drainage,Overflowing sewage,MP Nagar,47,High,INC-0011,Resolved,2026-06-12T11:22:00
CMP-0103,Municipal Helpline,2026-06-12T04:00:00,"Kolar me peene ka paani bilkul nahi aa raha 3 din se, please tanker send kijiye.",Hinglish,Water Supply,Water outage,Kolar,80,High,INC-0019,Resolved,2026-06-15T09:00:00
CMP-0365,Municipal Helpline,2026-06-12T05:00:00,"New Market में पिछले 4 दिन से पानी नहीं आया है, नगर निगम तुरंत टैंकर भिजवाए।",Hindi,Water Supply,Water outage,New Market,32,High,INC-0210,Pending,
CMP-0073,CM Helpline,2026-06-12T11:03:00,"MP Nagar Zone 2 me sewer line choked hai, black water sadak par fail gaya hai.",Hinglish,Drainage,Overflowing sewage,MP Nagar,47,High,INC-0011,Resolved,2026-06-16T15:03:00
CMP-0077,Mobile App,2026-06-12T13:29:00,एमपी नगर में सीवरेज लाइन जाम होने से गंदा पानी घरों के आगे भर गया है।,Hindi,Drainage,Overflowing sewage,MP Nagar,47,High,INC-0011,Resolved,2026-06-17T00:29:00
CMP-0100,Mobile App,2026-06-12T13:52:00,Multiple dog bite incidents in गोविंदपुरा this week. Urgent municipal dog catching required.,English,Public Health,Stray dog menace,Govindpura,58,Medium,INC-0018,Resolved,2026-06-14T06:52:00
CMP-0076,Social Media,2026-06-12T15:12:00,"एमपी नगर residential lane me sewage overflow ho raha hai, filthy smell aur health hazard hai.",Hinglish,Drainage,Overflowing sewage,MP Nagar,47,High,INC-0011,Resolved,2026-06-13T08:12:00
CMP-0074,Elected Representative,2026-06-12T17:48:00,"M.P. Nagar me sewer line choked hai, black water sadak par fail gaya hai.",Hinglish,Drainage,Overflowing sewage,MP Nagar,47,High,INC-0011,Resolved,2026-06-12T22:48:00
CMP-0341,Mobile App,2026-06-12T19:00:00,"Kotra area me drain blocked hai plastic ki wajah se, dirty water road pe overflow kar raha hai.",Hinglish,Drainage,Drain blockage,Kotra Sultanabad,28,High,INC-0186,Pending,
CMP-0376,Elected Representative,2026-06-12T20:00:00,"Shyamla Hills चौराहे के पास सड़क में बड़े-बड़े गड्ढे हैं, रात में दुर्घटना का भारी खतरा है।",Hindi,Roads,Pothole,Shyamla Hills,24,Medium,INC-0221,Resolved,2026-06-15T17:00:00
CMP-0104,Elected Representative,2026-06-13T00:00:00,"कोलार रोड में पिछले 4 दिन से पानी नहीं आया है, नगर निगम तुरंत टैंकर भिजवाए।",Hindi,Water Supply,Water outage,Kolar,80,High,INC-0019,Resolved,2026-06-16T16:00:00
CMP-0402,Mobile App,2026-06-13T06:00:00,Carcass of dead cattle on the road in Bhadbhada. Please dispatch sanitation squad immediately.,English,Sanitation,Dead animal removal,Bhadbhada,27,High,INC-0247,Resolved,2026-06-14T22:00:00
CMP-0116,Social Media,2026-06-13T07:00:00,"एमपी नगर चौराहे पर 5 दिन से कचरे का ढेर लगा है, आवारा मवेशी गंदगी फैला रहे हैं।",Hindi,Sanitation,Garbage accumulation,MP Nagar,47,Medium,INC-0023,Resolved,2026-06-18T06:00:00
CMP-0117,Elected Representative,2026-06-13T17:00:00,"MP Nagar park ke paas trash pile up ho gaya hai, please Nagar Nigam vehicle bhejo.",Hinglish,Sanitation,Garbage accumulation,MP Nagar,47,Medium,INC-0023,Resolved,2026-06-14T00:00:00
CMP-0350,Social Media,2026-06-13T21:00:00,"Hoshangabad Road me overhead power cables dangerous height par latak rahe hain, truck se takra sakte hain.",Hinglish,Electricity,Loose overhead wires,Hoshangabad Road,52,Critical,INC-0195,Pending,
CMP-0601,Mobile App,2026-06-13T22:00:00,Illegal open dumping of commercial debris and plastics on vacant plot in Kamla Nagar.,English,Sanitation,Open dumping,Kamla Nagar,29,Medium,INC-0446,Pending,
CMP-0114,Social Media,2026-06-14T00:00:00,"Bhai MP Nagar side roadside dumping badhti ja rahi hai, koi safai karne nahi aa raha.",Hinglish,Sanitation,Garbage accumulation,MP Nagar,47,Medium,INC-0023,Resolved,2026-06-15T21:00:00
CMP-0724,Social Media,2026-06-14T01:00:00,"करोंद क्षेत्र में डेंगू का खतरा बढ़ रहा है, कीटनाशक छिड़काव कराया जाए।",Hindi,Public Health,Mosquito breeding / fogging request,Karond,15,Medium,INC-0569,Pending,
CMP-0115,Municipal Helpline,2026-06-14T03:00:00,"MP Nagar चौराहे पर 5 दिन से कचरे का ढेर लगा है, आवारा मवेशी गंदगी फैला रहे हैं।",Hindi,Sanitation,Garbage accumulation,MP Nagar,47,Medium,INC-0023,Resolved,2026-06-15T12:00:00
CMP-0276,Elected Representative,2026-06-14T06:00:00,"Sonagiri sector A side loose electrical wire zameen ke paas aa gaya hai, please fix it.",Hinglish,Electricity,Loose overhead wires,Sonagiri,61,Critical,INC-0121,Pending,
CMP-0570,Mobile App,2026-06-14T06:00:00,Nullah blocked near Awadhpuri square causing artificial waterlogging during light rains.,English,Drainage,Drain blockage,Awadhpuri,64,High,INC-0415,Pending,
CMP-0473,CM Helpline,2026-06-14T16:00:00,"पानी की भारी किल्लत TT Nagar में। बोरिंग और नल दोनों बंद हैं, बच्चे परेशान हो रहे हैं।",Hindi,Water Supply,Water outage,TT Nagar,33,High,INC-0318,Pending,
CMP-0617,Mobile App,2026-06-14T17:00:00,Entire asphalt surface washed away near Berasia road. Road broken into gravel and dust.,English,Roads,Road damage,Bairasia Road,16,Medium,INC-0462,Resolved,2026-06-16T15:00:00
CMP-0500,Mobile App,2026-06-14T23:00:00,Open trash piled up near Anand nagar BHEL community park. Health hazard for children and elders.,English,Sanitation,Garbage accumulation,Anand Nagar,63,Medium,INC-0345,Resolved,2026-06-15T03:00:00
CMP-0081,Municipal Helpline,2026-06-14T23:54:00,"मिसरोद चौराहे पर 5 दिन से कचरे का ढेर लगा है, आवारा मवेशी गंदगी फैला रहे हैं।",Hindi,Sanitation,Garbage accumulation,Misrod,85,Medium,INC-0012,Resolved,2026-06-19T20:54:00
CMP-0579,Municipal Helpline,2026-06-15T02:00:00,Storm drain choked with plastic and silt in Sonagiri. Dirty water overflowing onto road.,English,Drainage,Drain blockage,Sonagiri,61,High,INC-0424,In Progress,
CMP-0417,Mobile App,2026-06-15T03:00:00,"Jahangirabad road pe dead animal pada hua hai 1 week se, bahut badboo aa rahi hai, urgent remove karo.",Hinglish,Sanitation,Dead animal removal,Jahangirabad,41,High,INC-0262,Resolved,2026-06-17T16:00:00
CMP-0358,Mobile App,2026-06-15T05:00:00,होशंगाबाद रोड में आवासीय बस्ती के पास गंदा पानी जमा है। बदबू और मच्छरों से लोग परेशान हैं।,Hindi,Public Health,Stagnant water near habitation,Hoshangabad Road,52,Medium,INC-0203,Resolved,2026-06-18T17:00:00
CMP-0194,Mobile App,2026-06-15T21:00:00,Drainage backflow in Jahangirabad chowki. Unsanitary sewage entering house front yards.,English,Drainage,Overflowing sewage,Jahangirabad,41,High,INC-0047,Resolved,2026-06-20T10:00:00
CMP-0245,Municipal Helpline,2026-06-16T00:00:00,Tractor trolleys dumping building waste openly near Lalghati residential area.,English,Sanitation,Open dumping,Lalghati,6,Medium,INC-0090,Resolved,2026-06-20T01:00:00
CMP-0670,CM Helpline,2026-06-16T00:00:00,Streetlights on the entire stretch of Neelbad road are dark for 5 days. Safety hazard for women.,English,Street Lighting,Streetlight not working,Neelbad,83,Low,INC-0515,Resolved,2026-06-17T15:00:00
CMP-0192,Social Media,2026-06-16T02:00:00,Jahangirabad की आवासीय सड़क पर सीवर का गंदा पानी उफन रहा है। भयंकर दुर्गंध और बीमारी का डर है।,Hindi,Drainage,Overflowing sewage,Jahangirabad,41,High,INC-0047,Resolved,2026-06-19T15:00:00
CMP-0154,Municipal Helpline,2026-06-16T03:00:00,"Shahpura B sector me streetlights band hain 1 week se, raat ko poora dark ho jata hai, safety risk hai.",Hinglish,Street Lighting,Streetlight not working,Shahpura,50,Low,INC-0035,Resolved,2026-06-18T11:00:00
CMP-0638,Social Media,2026-06-16T05:00:00,Open trash piled up near Kamla park area community park. Health hazard for children and elders.,English,Sanitation,Garbage accumulation,Kamla Nagar,29,Medium,INC-0483,In Progress,
CMP-0195,Social Media,2026-06-16T06:00:00,Jahangirabad में सीवरेज लाइन जाम होने से गंदा पानी घरों के आगे भर गया है।,Hindi,Drainage,Overflowing sewage,Jahangirabad,41,High,INC-0047,Resolved,2026-06-16T15:00:00
CMP-0080,CM Helpline,2026-06-16T11:50:00,Open trash piled up near मिसरोद community park. Health hazard for children and elders.,English,Sanitation,Garbage accumulation,Misrod,85,Medium,INC-0012,Resolved,2026-06-19T06:50:00
CMP-0379,Municipal Helpline,2026-06-16T14:00:00,"नीलबड़ मुख्य मार्ग पर मृत पशु पड़ा हुआ है, संक्रमण फैलने की आशंका है।",Hindi,Sanitation,Dead animal removal,Neelbad,83,High,INC-0224,Resolved,2026-06-19T15:00:00
CMP-0193,Mobile App,2026-06-16T15:00:00,Jahangirabad की आवासीय सड़क पर सीवर का गंदा पानी उफन रहा है। भयंकर दुर्गंध और बीमारी का डर है।,Hindi,Drainage,Overflowing sewage,Jahangirabad,41,High,INC-0047,Resolved,2026-06-21T06:00:00
CMP-0079,CM Helpline,2026-06-16T15:15:00,"Misrod चौराहे पर कल से कचरे का ढेर लगा है, आवारा मवेशी गंदगी फैला रहे हैं।",Hindi,Sanitation,Garbage accumulation,Misrod,85,Medium,INC-0012,Resolved,2026-06-21T01:15:00
CMP-0551,Municipal Helpline,2026-06-16T16:00:00,"Malviya nagar new market side nullah jam hai 5 din se, barish me paani gharo ke andar ghus raha hai.",Hinglish,Drainage,Drain blockage,New Market,32,High,INC-0396,Resolved,2026-06-21T00:00:00
CMP-0153,CM Helpline,2026-06-16T17:00:00,Shahpura की पूरी सड़क पर पिछले 5 दिन से स्ट्रीट लाइट बंद है। रात में अंधेरा रहता है।,Hindi,Street Lighting,Streetlight not working,Shahpura,50,Low,INC-0035,Resolved,2026-06-21T12:00:00
CMP-0151,CM Helpline,2026-06-16T18:00:00,Streetlights on the entire stretch of Shahpura sector A are dark for 2 days. Safety hazard for women.,English,Street Lighting,Streetlight not working,Shahpura,50,Low,INC-0035,Resolved,2026-06-17T13:00:00
CMP-0078,Elected Representative,2026-06-16T18:58:00,Garbage dumped on Misrod roadside for 3 days. Stray cattle and dogs scattering waste.,English,Sanitation,Garbage accumulation,Misrod,85,Medium,INC-0012,Resolved,2026-06-17T06:58:00
CMP-0096,Mobile App,2026-06-16T22:55:00,"Kohefiza pole light blinking problem kal se hai, kindly repair.",Hinglish,Street Lighting,Flickering streetlight,Koh-e-Fiza,8,Low,INC-0016,Resolved,2026-06-20T23:55:00
CMP-0152,Mobile App,2026-06-17T01:00:00,Light pole fixture not functional in Shahpura. Area completely pitch dark at night.,English,Street Lighting,Streetlight not working,Shahpura,50,Low,INC-0035,Resolved,2026-06-18T17:00:00
CMP-0397,Municipal Helpline,2026-06-17T01:00:00,"Bairasia Road रोड पर खुला मैनहोल खुला पड़ा है, तत्काल नया ढक्कन लगवाया जाए।",Hindi,Drainage,Damaged manhole cover,Bairasia Road,16,Critical,INC-0242,In Progress,
CMP-0428,CM Helpline,2026-06-17T02:00:00,"Bhai South TT Nagar side roadside dumping badhti ja rahi hai, koi safai karne nahi aa raha.",Hinglish,Sanitation,Garbage accumulation,TT Nagar,33,Medium,INC-0273,Resolved,2026-06-18T13:00:00
CMP-0463,Mobile App,2026-06-17T06:00:00,"Kolar में सफाई कर्मचारी कचरा नहीं उठा रहे हैं, चारों तरफ कूड़ा बिखरा पड़ा है।",Hindi,Sanitation,Garbage accumulation,Kolar,80,Medium,INC-0308,Resolved,2026-06-19T07:00:00
CMP-0094,Mobile App,2026-06-17T15:40:00,कोहेफिजा में स्ट्रीट लाइट लगातार झिलमिला रही है और तेज आवाज कर रही है।,Hindi,Street Lighting,Flickering streetlight,Koh-e-Fiza,8,Low,INC-0016,Resolved,2026-06-19T01:40:00
CMP-0459,Municipal Helpline,2026-06-17T17:00:00,"Hoshangabad Road क्षेत्र में सड़क धंस गई है, भारी वाहनों के चलने से खतरा बढ़ गया है।",Hindi,Roads,Road damage,Hoshangabad Road,52,Medium,INC-0304,Resolved,2026-06-18T08:00:00
CMP-0256,Elected Representative,2026-06-17T21:00:00,"Anand Nagar चौराहे पर कल से कचरे का ढेर लगा है, आवारा मवेशी गंदगी फैला रहे हैं।",Hindi,Sanitation,Garbage accumulation,Anand Nagar,63,Medium,INC-0101,In Progress,
CMP-0310,Municipal Helpline,2026-06-17T21:00:00,Karond main road par fallen tree branch ki wajah se heavy jam laga hai.,Hinglish,Roads,Road obstruction,Karond,15,High,INC-0155,Resolved,2026-06-20T02:00:00
CMP-0483,Social Media,2026-06-17T21:00:00,Light pole fixture not functional in Gandhi Nagar. Area completely pitch dark at night.,English,Street Lighting,Streetlight not working,Gandhi Nagar,1,Low,INC-0328,In Progress,
CMP-0585,Elected Representative,2026-06-17T23:00:00,नीलबड़ में 2 दिन से पानी की सप्लाई पूरी तरह बंद है। पीने के पानी के लिए भारी परेशानी हो रही है।,Hindi,Water Supply,Water outage,Neelbad,83,High,INC-0430,Resolved,2026-06-22T16:00:00
CMP-0095,Mobile App,2026-06-18T03:26:00,Streetlight opposite house in Koh-e-Fiza continuously flickering and humming loudly.,English,Street Lighting,Flickering streetlight,Koh-e-Fiza,8,Low,INC-0016,Resolved,2026-06-20T15:26:00
CMP-0041,Mobile App,2026-06-18T10:47:00,Deep craters developed on कोतरा सुल्तानाबाद road after rain. Major hazard for night commuters.,English,Roads,Pothole,Kotra Sultanabad,28,Medium,INC-0005,Resolved,2026-06-20T08:47:00
CMP-0732,Social Media,2026-06-18T14:00:00,Streetlights on the entire stretch of Misrod are dark for 3 days. Safety hazard for women.,English,Street Lighting,Streetlight not working,Misrod,85,Low,INC-0577,Resolved,2026-06-21T06:00:00
CMP-0613,Mobile App,2026-06-18T15:00:00,"Gandhi nagar airport road road pe main pipeline burst ho gayi hai, paani sadak pe beh raha hai.",Hinglish,Water Supply,Water leakage,Gandhi Nagar,1,Medium,INC-0458,Resolved,2026-06-21T15:00:00
CMP-0629,CM Helpline,2026-06-18T17:00:00,Garbage dumped on सोनागिरी roadside for yesterday. Stray cattle and dogs scattering waste.,English,Sanitation,Garbage accumulation,Sonagiri,61,Medium,INC-0474,Pending,
CMP-0355,Mobile App,2026-06-18T19:00:00,Uneven cracked road stretch in Kamla Nagar causing vehicle suspension breakdown.,English,Roads,Road damage,Kamla Nagar,29,Medium,INC-0200,Pending,
CMP-0404,Social Media,2026-06-18T19:00:00,Tractor trolleys dumping building waste openly near Arera Colony residential area.,English,Sanitation,Open dumping,Arera Colony,48,Medium,INC-0249,Resolved,2026-06-20T21:00:00
CMP-0494,Mobile App,2026-06-18T19:00:00,Bawadiya Kalan में सीवरेज लाइन जाम होने से गंदा पानी घरों के आगे भर गया है।,Hindi,Drainage,Overflowing sewage,Bawadiya Kalan,51,High,INC-0339,Pending,
